Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
,ST6267,362000,167000,,England,,1,2017,2017,WCBS,51.400749,-2.5476385
,SO6804,368000,204000,,England,,3,2017,2020,WCBS,51.73379,-2.4647734
,SY8781,387000,81000,,England,,4,2017,2020,WCBS,50.628552,-2.1851577
,SH9978,299000,378000,,Wales,,2,2017,2018,WCBS,53.289308,-3.5165967
,SP8254,482000,254000,,England,,2,2017,2018,WCBS,52.178171,-0.80220892
,TL8183,581000,283000,,England,,3,2017,2020,WCBS,52.415045,0.65996227
,TL8226,582000,226000,,England,,1,2017,2017,WCBS,51.90281,0.64412141
,TL9475,594000,275000,,England,,4,2017,2020,WCBS,52.338761,0.84623858
,SU6553,465000,153000,,England,,1,2017,2017,WCBS,51.272452,-1.0696076
,ST4601,346000,101000,,England,,3,2017,2019,WCBS,50.806026,-2.7677226
,SS7946,279000,146000,,England,,4,2017,2020,WCBS,51.200362,-3.7332503
,SP1905,419000,205000,,England,,4,2017,2020,WCBS,51.743383,-1.7262155
,TM0058,600000,258000,,England,,2,2017,2019,WCBS,52.183973,0.92412302
,TQ7859,578000,159000,,England,,4,2017,2020,WCBS,51.30229,0.55206192
,SO5403,354000,203000,,England,,4,2017,2020,WCBS,51.723823,-2.6673539
,SD6537,365000,437000,,England,,4,2017,2020,WCBS,53.828077,-2.5332277
,SP6848,468000,248000,,England,,4,2017,2020,WCBS,52.126136,-1.0081142
,SP8657,486000,257000,,England,,4,2017,2020,WCBS,52.204527,-0.7429656
,SE6863,468000,463000,,England,,2,2017,2019,WCBS,54.058474,-0.96266569
,SD7514,375000,414000,,England,,4,2017,2020,WCBS,53.621936,-2.379438
,SU7405,474000,105000,,England,,3,2017,2019,WCBS,50.839806,-0.95041457
,SZ0592,405000,92000,,England,,3,2017,2019,WCBS,50.727599,-1.9305248
,TM0057,600000,257000,,England,,2,2017,2019,WCBS,52.174995,0.9235338
,TM1982,619000,282000,,England,,1,2017,2017,WCBS,52.392192,1.2171798
,TQ3030,530000,130000,,England,,4,2017,2020,WCBS,51.054638,-0.14652943
,NO0248,302000,748000,,Scotland,,2,2017,2019,WCBS,56.613586,-3.5983559
,SU5245,452000,145000,,England,,4,2017,2020,WCBS,51.201855,-1.2571029
,SU4613,446000,113000,,England,,3,2017,2020,WCBS,50.914638,-1.3470328
,H3482,47390,545975,,Northern Ireland,,2,2018,2019,WCBS,54.684933,-7.47359
,J5172,163173,526015,,Northern Ireland,,2,2018,2019,WCBS,54.573728,-5.6657311
,NY0838,308000,538000,,England,,3,2018,2020,WCBS,54.728537,-3.4301063
,NY4830,348000,530000,,England,,2,2018,2019,WCBS,54.662387,-2.8076479
,NY4934,349000,534000,,England,,3,2018,2020,WCBS,54.698432,-2.7928474
,NY8479,384000,579000,,England,,2,2018,2019,WCBS,55.105149,-2.2523097
,NY9085,390000,585000,,England,,3,2018,2020,WCBS,55.159223,-2.1584845
,NY9582,395000,582000,,England,,3,2018,2020,WCBS,55.132342,-2.0799583
,NZ2706,427000,506000,,England,,3,2018,2020,WCBS,54.448686,-1.5851272
,SD6577,365000,477000,,England,,2,2018,2020,WCBS,54.187567,-2.5378454
,SJ3368,333000,368000,,Wales,,1,2018,2018,WCBS,53.204829,-3.004551
,SJ5824,358000,324000,,England,,3,2018,2020,WCBS,52.811899,-2.6245563
,SK1388,413000,388000,,England,,2,2018,2019,WCBS,53.388683,-1.8059994
,SK8540,485000,340000,,England,,3,2018,2020,WCBS,52.950658,-0.73632796
,SN4236,242000,236000,,Wales,,2,2018,2019,WCBS,51.999897,-4.3029983
,SO3936,339000,236000,,England,,3,2018,2020,WCBS,52.019052,-2.8903292
,SO4453,344000,253000,,England,,2,2018,2019,WCBS,52.172404,-2.8202747
,SO7527,375000,227000,,England,,2,2018,2019,WCBS,51.940935,-2.3650829
,SO9011,390000,211000,,England,,3,2018,2020,WCBS,51.797556,-2.1464108
,SP0057,400000,257000,,England,,2,2018,2019,WCBS,52.211219,-2.0014184
,SP1814,418000,214000,,England,,1,2018,2018,WCBS,51.824334,-1.740235
,SP6124,461000,224000,,England,,1,2018,2018,WCBS,51.911202,-1.1146203
,SP9576,495000,276000,,England,,1,2018,2018,WCBS,52.373816,-0.60595733
,SP9780,497000,280000,,England,,2,2018,2019,WCBS,52.409415,-0.57543188
,SP9952,499000,252000,,England,,1,2018,2018,WCBS,52.157411,-0.55425366
,ST5777,357000,177000,,England,,3,2018,2020,WCBS,51.490302,-2.6207276
,ST7894,378000,194000,,England,,3,2018,2020,WCBS,51.644364,-2.3193386
,ST8196,381000,196000,,England,,3,2018,2020,WCBS,51.662456,-2.2760929
,ST8399,383000,199000,,England,,2,2018,2019,WCBS,51.689494,-2.247325
,ST9421,394000,121000,,England,,3,2018,2020,WCBS,50.988369,-2.086857
,ST9466,394000,166000,,England,,3,2018,2020,WCBS,51.393005,-2.0876234
,ST9794,397000,194000,,England,,3,2018,2020,WCBS,51.64479,-2.0447533
,SU0143,401000,143000,,England,,3,2018,2020,WCBS,51.186227,-1.9870727
,SU0662,406000,162000,,England,,1,2018,2018,WCBS,51.357041,-1.9152193
,SU1142,411000,142000,,England,,3,2018,2020,WCBS,51.177132,-1.844022
,SU1314,413000,114000,,England,,3,2018,2020,WCBS,50.925311,-1.8164083
,SU2419,424000,119000,,England,,3,2018,2020,WCBS,50.969921,-1.6595752
,SU2497,424000,197000,,England,,1,2018,2018,WCBS,51.671264,-1.6543478
,SU2925,429000,125000,,England,,2,2018,2019,WCBS,51.023644,-1.5878918
,SU9621,496000,121000,,England,,3,2018,2020,WCBS,50.980416,-0.6338486
,SX2151,221000,51000,,England,,2,2018,2019,WCBS,50.331669,-4.5164316
,SX4155,241000,55000,,England,,3,2018,2020,WCBS,50.373356,-4.2373484
,SY6482,364000,82000,,England,,3,2018,2020,WCBS,50.636573,-2.5104241
,SY6591,365000,91000,,England,,2,2018,2019,WCBS,50.717566,-2.4971387
,SY7683,376000,83000,,England,,3,2018,2020,WCBS,50.646186,-2.3408056
,SY7884,378000,84000,,England,,3,2018,2020,WCBS,50.655258,-2.3125788
,SZ0797,407000,97000,,England,,2,2018,2020,WCBS,50.772542,-1.9020954
,TA0662,506000,462000,,England,,1,2018,2018,WCBS,54.043086,-0.38270351
,TA0946,509000,446000,,England,,1,2018,2018,WCBS,53.898718,-0.3426238
,TA1336,513000,436000,,England,,1,2018,2018,WCBS,53.808025,-0.28545394
,TA1566,515000,466000,,England,,1,2018,2018,WCBS,54.077093,-0.24381227
