Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
2380,"Doley Common","SJ81702150",381700,321500,1645,"England",5,12,2003,2015,"UKBMS"
2381,"Stiperstones","SO37809960",337800,299600,,"England",13,1,2002,2002,"UKBMS"
2383,"Harbury Spoilbank Trans 2","SP38505960",438500,259600,,"England",1,4,2002,2005,"UKBMS"
2384,"Ryton Woods Landfill 2","SP37807280",437800,272800,2744,"England",4,2,2003,2004,"UKBMS"
2385,"Stockton Cutting Ruins","SP44206480",444200,264800,120,"England",8,5,2000,2006,"UKBMS"
2386,"Weddington North East 2","SP36309460",436300,294600,260,"England",3,10,2003,2012,"UKBMS"
2387,"Weddington South West 2","SP35709350",435700,293500,360,"England",7,10,2003,2012,"UKBMS"
2388,"Bishops Heaps","SP39305820",439300,258200,,"England",4,21,1999,2020,"UKBMS"
2389,"Hearsall Common 04","SP30807860",430800,278600,1440,"England",9,16,2004,2020,"UKBMS"
2390,"Lake View Park 2","SP31407930",431400,279300,460,"England",8,6,2003,2009,"UKBMS"
2391,"Eastnor Park North","SO75603820",375600,238200,1540,"England",8,3,2004,2006,"UKBMS"
2393,"Old Hills","SO82804870",382800,248700,2240,"England",13,1,2004,2004,"UKBMS"
2397,"Llynclys Common","SJ27302370",327300,323700,,"Wales",10,2,1998,1999,"UKBMS"
2401,"Bentley Wood - Barnridge","SU24202950",424200,129500,1350,"England",9,33,1988,2020,"UKBMS"
2402,"Bentley Wood - Eastern","SU25802910",425800,129100,750,"England",7,33,1988,2020,"UKBMS"
2403,"Bentley Wood - North","SU250300",425000,130000,3200,"England",12,35,1986,2020,"UKBMS"
2404,"Bentley Wood - South","SU25102830",425100,128300,1850,"England",11,34,1987,2020,"UKBMS"
2405,"Biss Wood","ST87705670",387700,156700,600,"England",1,33,1987,2020,"UKBMS"
2406,"Blackmoor Copse (WWT)","SU23502910",423500,129100,2000,"England",14,34,1983,2020,"UKBMS"
2407,"Boscombe Down A (MOD)","SU17704120",417700,141200,500,"England",2,28,1989,2019,"UKBMS"
2408,"Boscombe Down O (WCC)","SU18504080",418500,140800,1500,"England",2,21,1995,2020,"UKBMS"
2409,"Bratton Castle Earthworks (EH)","ST90405160",390400,151600,1500,"England",5,41,1980,2020,"UKBMS"
2410,"Dean Hill (West) (NT)","SU22502570",422500,125700,900,"England",1,20,1996,2020,"UKBMS"
2411,"Green Lane Wood (WWT)","ST88105770",388100,157700,3070,"England",12,30,1991,2020,"UKBMS"
2412,"Hartmoor, Devizes","ST99805990",399800,159900,,"England",4,10,1988,1997,"UKBMS"
2413,"KAC towpath, Bradford-on-Avon","ST82805970",382800,159700,500,"England",5,40,1980,2020,"UKBMS"
2414,"Little Langford Down (WWT)","SU04603840",404600,138400,1130,"England",,5,1994,1998,"UKBMS"
2415,"Middle Street Meadow, Salisbury","SU22502570",422500,125700,1350,"England",10,23,1994,2020,"UKBMS"
2416,"Murhill Bank, Winsley (LNR)","ST79106090",379100,160900,,"England",,4,1998,2001,"UKBMS"
2417,"Park Bottom","ST95303740",395300,137400,1125,"England",12,16,1997,2012,"UKBMS"
2418,"Porton Dn.2 (Tower Hill Wood)","SU240387",424000,138700,2700,"England",12,24,1995,2019,"UKBMS"
2419,"Prickmoor Wood, Chittoe","ST95106610",395100,166100,1300,"England",5,10,1998,2008,"UKBMS"
2420,"Ravensroost Wood (WWT)","SU02308810",402300,188100,,"England",,6,1993,1998,"UKBMS"
2421,"Roundway Hill Covert (WWT)","SU00306400",400300,164000,1500,"England",5,23,1981,2020,"UKBMS"
2422,"Savernake Forest (FC)","SU220660",422000,166000,,"England",10,2,1999,2000,"UKBMS"
2423,"Somerford Common extended","SU02506850",402500,168500,2641,"England",,13,1989,2003,"UKBMS"
2424,"Upton Cow Down (MOD)","ST87104840",387100,148400,650,"England",7,23,1983,2011,"UKBMS"
2425,"Vagg's Hill","ST80705600",380700,156000,800,"England",2,29,1982,2020,"UKBMS"
2426,"Webb's Wood (FC)","SU04508570",404500,185700,3500,"England",14,18,1996,2020,"UKBMS"
2427,"West Yatton Down","ST85307590",385300,175900,3500,"England",15,23,1996,2020,"UKBMS"
2428,"White Sheet Hill Quarry (NT)","ST79903510",379900,135100,1100,"England",8,18,1999,2020,"UKBMS"
2429,"Bentley Wood - Frenchmoor","SU27502850",427500,128500,1620,"England",7,15,2000,2019,"UKBMS"
2430,"Bentley Wood - Compartment Four","SU25303180",425300,131800,1330,"England",5,21,1999,2019,"UKBMS"
2431,"Bentley Wood Hawksgrove","SU240280",424000,128000,2270,"England",8,23,1998,2020,"UKBMS"
2432,"Morgan's Hill SSSI","SU01906710",401900,167100,2270,"England",11,9,2004,2020,"UKBMS"
2433,"Netherhampton","SU115295",411500,129500,,"England",,1,2001,2001,"UKBMS"
2434,"Wadswick Common","ST83706770",383700,167700,700,"England",5,9,2004,2020,"UKBMS"
2436,"Barbury Castle","SU14907630",414900,176300,1000,"England",6,16,2005,2020,"UKBMS"
2437,"Danks Down","ST83907660",383900,176600,1500,"England",8,2,2005,2006,"UKBMS"
2438,"Figsbury Ring","SU18803380",418800,133800,2500,"England",9,12,2006,2020,"UKBMS"
2439,"Red Lodge Wood","SU060890",406000,189000,1200,"England",6,9,2007,2020,"UKBMS"
2440,"The Batters","ST87606980",387600,169800,200,"England",3,2,2007,2008,"UKBMS"
2441,"Tucking Mill Tisbury","ST93602900",393600,129000,,"England",15,13,2006,2020,"UKBMS"
2442,"Sutton Lane Meadows","ST946777",394600,177700,600,"England",1,1,2008,2008,"UKBMS"
2443,"Blakehill Farm","SU074915",407400,191500,2700,"England",3,11,2009,2020,"UKBMS"
2444,"Sutton Lane Meadows 2009","ST946777",394600,177700,1350,"England",5,4,2009,2012,"UKBMS"
2445,"Dean Hill Park","SU252261",425200,126100,,"England",2,1,2012,2012,"UKBMS"
2446,"Hinton Parva Coombe","SU227825",422700,182500,2100,"England",7,2,2012,2013,"UKBMS"
2447,"Upton Scudamore Embankment","ST869483",386900,148300,500,"England",1,3,2012,2018,"UKBMS"
2448,"Ravens Roost Wood","SU023881",402300,188100,2000,"England",7,9,2011,2020,"UKBMS"
2449,"Somerford Common 13","SU028867",402800,186700,1360,"England",15,2,2013,2014,"UKBMS"
2450,"Vernditch","SU035206",403500,120600,1260,"England",8,8,2013,2020,"UKBMS"
2451,"Fitzmaurice School Field, Bradford-on-Avon","ST828601",382800,160100,450,"England",5,7,2014,2020,"UKBMS"
2452,"Hinton Parva Combe","SU227825",422700,182500,2145,"England",2,3,2015,2020,"UKBMS"
2453,"Stratton Wood","SU165891",416500,189100,1750,"England",4,6,2015,2020,"UKBMS"
2454,"Langley Wood","SU225203",422500,120300,1321,"England",6,6,2015,2020,"UKBMS"
2455,"Coombe Bissett SSSI","SU111248",411100,124800,2564,"England",12,6,2015,2020,"UKBMS"
2456,"Beaumonts","SU214401",421400,140100,1245,"England",4,1,2015,2015,"UKBMS"
2458,"Danks Down (2015 route)","ST842748",384200,174800,2945,"England",13,6,2015,2020,"UKBMS"
2459,"Winterbourne Downs Loop 2013","SU226393",422600,139300,1300,"England",3,5,2015,2019,"UKBMS"
2460,"Winterbourne Downs Beaumont's","SU213403",421300,140300,1190,"England",5,4,2016,2019,"UKBMS"
2462,"Clouts Complex","SU136796",413600,179600,2055,"England",11,1,2016,2016,"UKBMS"
2463,"Newton Tony, RSPB","SU224394",422400,139400,,"England",,4,2017,2020,"UKBMS"
2464,"North Meadow, Bradford-on-Avon (1)","ST820605",382000,160500,,"England",,4,2017,2020,"UKBMS"
2465,"SPTA Larkhill LACGEN2","SU133453",413300,145300,,"England",,4,2017,2020,"UKBMS"
2466,"SPTA Larkhill, Horne Barracks","SU123445",412300,144500,,"England",,4,2017,2020,"UKBMS"
2467,"Parsonage Down","SU037414",403700,141400,1550,"England",7,3,2018,2020,"UKBMS"
2468,"Avebury Waden Hill","SU107688",410700,168800,2000,"England",5,2,2018,2019,"UKBMS"
2469,"Normanton Down","SU117412",411700,141200,1207,"England",6,2,2018,2019,"UKBMS"
2470,"Cholderton","SU226421",422600,142100,1280,"England",3,2,2019,2020,"UKBMS"
2471,"Lime Kiln Down","SU144281",414400,128100,1630,"England",5,2,2019,2020,"UKBMS"
2472,"Hazel Hill Wood","SU219283",421900,128300,2400,"England",8,2,2019,2020,"UKBMS"
2473,"Calstone 1","SU041692",404100,169200,3750,"England",15,2,2019,2020,"UKBMS"
2474,"Calstone 2","SU046685",404600,168500,3950,"England",15,2,2019,2020,"UKBMS"
2475,"Cloatley Meadows","ST979912",397900,191200,,"England",,1,2020,2020,"UKBMS"
2476,"Coombe Bissett Down","SU111256",411100,125600,2887,"England",3,1,2020,2020,"UKBMS"
2477,"Pewsey Downs West (Milk Hill)","SU098643",409800,164300,2967,"England",7,1,2020,2020,"UKBMS"
2500,"Bannerdown","ST790682",379000,168200,2000,"England",5,24,1996,2020,"UKBMS"
2501,"Compton Hill","ST39505600",339500,156000,2220,"England",,5,1992,1996,"UKBMS"
2502,"Stoke Camp","ST49205120",349200,151200,1710,"England",7,26,1995,2020,"UKBMS"
2503,"Mount Fancy East","ST250164",325000,116400,680,"England",3,1,2000,2000,"UKBMS"
2504,"Mount Fancy West - Shutes Farm","ST24701680",324700,116800,1130,"England",7,3,1998,2000,"UKBMS"
2505,"Haddon Moor","SS99602900",299600,129000,520,"England",5,18,1996,2020,"UKBMS"
2506,"Cross Plain","ST41505550",341500,155500,1000,"England",9,26,1993,2020,"UKBMS"
2507,"Bincombe","SS90604100",290600,141000,1300,"England",6,15,1985,2005,"UKBMS"
2508,"Halsecombe","SS89304550",289300,145500,3100,"England",12,14,1984,2005,"UKBMS"
2509,"Mounsey","SS88502950",288500,129500,3150,"England",3,6,1997,2003,"UKBMS"
2510,"Buckland Wood","ST18801780",318800,117800,1210,"England",8,24,1997,2020,"UKBMS"
2511,"Hartley Field","ST18801810",318800,118100,250,"England",1,10,1998,2007,"UKBMS"
2512,"Ruttersleigh Common","ST26101630",326100,116300,650,"England",6,8,1998,2005,"UKBMS"
2513,"Thurlbear Quarrylands","ST27302100",327300,121000,2060,"England",10,17,1996,2012,"UKBMS"
2514,"Witch Lodge Fields","ST25201990",325200,119900,1080,"England",5,15,1997,2011,"UKBMS"
2515,"Shute Shelve Hill","ST42605550",342600,155500,2050,"England",,1,1993,1993,"UKBMS"
2516,"Folly Farm","ST60506050",360500,160500,1500,"England",10,5,1990,1994,"UKBMS"
2517,"Cheddar Cliffs","ST47505450",347500,154500,1622,"England",8,8,1996,2003,"UKBMS"
2518,"Aller Wood & Turn Hill","ST40503050",340500,130500,2200,"England",12,2,2000,2002,"UKBMS"
2519,"Newton Park","ST69306380",369300,163800,2900,"England",7,1,2000,2000,"UKBMS"
2520,"Draycott Sleights","ST48505150",348500,151500,3800,"England",5,16,1988,2007,"UKBMS"
2521,"Coleford Butterfly Walk","ST68604880",368600,148800,,"England",1,6,1998,2003,"UKBMS"
2522,"Noone Cottage Meadows","ST68404860",368400,148600,620,"England",10,10,1995,2007,"UKBMS"
2523,"Dolebury Warren","ST45505870",345500,158700,1850,"England",10,2,2015,2016,"UKBMS"
2524,"East Poldens","ST49503250",349500,132500,3250,"England",10,11,1999,2010,"UKBMS"
2525,"Ham Wall","ST460400",346000,140000,4700,"England",10,20,1998,2019,"UKBMS"
2526,"Hinkley Point Power Station","ST20804580",320800,145800,4400,"England",6,10,2000,2009,"UKBMS"
2527,"Langford Heathfield","ST10102320",310100,123200,2600,"England",12,30,1991,2020,"UKBMS"
2528,"Rodney Stoke","ST48705070",348700,150700,3000,"England",12,21,1989,2009,"UKBMS"
2530,"West Sedgemoor","ST34702440",334700,124400,3002,"England",7,24,1994,2019,"UKBMS"
2531,"Kings Weston Down","ST550779",355000,177900,1000,"England",10,9,2001,2013,"UKBMS"
2533,"Blackdown Common","ST11201540",311200,115400,600,"England",1,1,2000,2000,"UKBMS"
2534,"Overland Copse","ST17701940",317700,119400,1500,"England",9,1,2002,2002,"UKBMS"
2536,"Blackdown Common New","ST11201540",311200,115400,700,"England",2,3,2001,2003,"UKBMS"
2537,"Mount Fancy Combined","ST24801670",324800,116700,2240,"England",8,19,2002,2020,"UKBMS"
2538,"Sand Point","ST32506600",332500,166000,,"England",6,3,2002,2004,"UKBMS"
2539,"Ubley Warren","ST50705540",350700,155400,4500,"England",15,6,2002,2013,"UKBMS"
2540,"Carymoor Environmental Centre","ST61503080",361500,130800,1270,"England",10,19,2001,2020,"UKBMS"
2541,"Crook Peak","ST390551",339000,155100,3600,"England",10,19,2002,2020,"UKBMS"
2542,"Shapwick Heath","ST42304120",342300,141200,4000,"England",8,10,2003,2012,"UKBMS"
2543,"Haddon Hill","SS97102850",297100,128500,1500,"England",3,18,2003,2020,"UKBMS"
2544,"Middlehope","ST330660",333000,166000,,"England",5,1,2003,2003,"UKBMS"
2546,"Whiteleaze","ST27302950",327300,129500,1000,"England",5,14,2003,2016,"UKBMS"
2547,"Congrove Field and Hanging Hill","ST71507000",371500,170000,3000,"England",8,4,2004,2007,"UKBMS"
2548,"Browns Folly","ST79806640",379800,166400,3300,"England",7,3,2004,2006,"UKBMS"
2549,"Dundon Beacon","ST48503240",348500,132400,1938,"England",9,18,2003,2020,"UKBMS"
2550,"Ash Priors Common","ST150280",315000,128000,,"England",10,2,2004,2005,"UKBMS"
2551,"Babcary Meadows","ST56502950",356500,129500,,"England",6,1,2002,2002,"UKBMS"
2552,"Brean Down","ST29805830",329800,158300,,"England",7,6,2002,2013,"UKBMS"
2554,"Crowcombe Heathfield","ST13803400",313800,134000,,"England",5,8,2006,2016,"UKBMS"
2556,"Redding Pit Quarry","ST53506370",353500,163700,1444,"England",10,16,2005,2020,"UKBMS"
2557,"Hatch Hill","ST50103370",350100,133700,2000,"England",9,15,2005,2019,"UKBMS"
2558,"Hellenge Hill","ST34505610",334500,156100,4600,"England",6,1,2005,2005,"UKBMS"
2559,"Purn Hill","ST33205760",333200,157600,800,"England",3,2,2005,2006,"UKBMS"
2560,"Whiteball Quarry","ST089185",308900,118500,3500,"England",10,1,2005,2005,"UKBMS"
2561,"Line Wood Meadow","ST30102100",330100,121000,700,"England",6,3,2005,2007,"UKBMS"
2562,"Hucker's Bow, Sand Point","ST34806650",334800,166500,1950,"England",4,15,2006,2020,"UKBMS"
2563,"Staple & Ruttersleigh Commons","ST26601580",326600,115800,,"England",5,3,2006,2008,"UKBMS"
2565,"Witcombe, Montacute","ST48501600",348500,116000,2350,"England",7,4,2007,2010,"UKBMS"
2566,"Westbury Beacon","ST50105070",350100,150700,1270,"England",6,14,2007,2020,"UKBMS"
2567,"Sharman Sanctuary","ST23501520",323500,115200,340,"England",4,1,2007,2007,"UKBMS"
2568,"Hillfarrance Flood Diversion Channel","ST165245",316500,124500,,"England",1,2,2006,2007,"UKBMS"
2569,"Neroche Parish Hall","ST28301870",328300,118700,100,"England",1,1,2007,2007,"UKBMS"
2570,"Walton Common","ST42807380",342800,173800,2120,"England",10,14,2007,2020,"UKBMS"
2571,"Weston Moor Nature Reserve","ST440742",344000,174200,2200,"England",9,14,2007,2020,"UKBMS"
2572,"Carymoor: Upper Dauntsey Field","ST61803190",361800,131900,650,"England",4,13,2007,2020,"UKBMS"
2573,"Brent Knoll","ST34105100",334100,151000,2000,"England",9,13,2008,2020,"UKBMS"
2574,"Sand Point (2008)","ST320660",332000,166000,2825,"England",7,10,2008,2017,"UKBMS"
2575,"Draycott Sleights (2008)","ST483516",348300,151600,1943,"England",6,13,2008,2020,"UKBMS"
2576,"Hinkley Point Nature Reserve Revised","ST20804580",320800,145800,,"England",13,1,2008,2008,"UKBMS"
2577,"Milton Hill","ST533472",353300,147200,2000,"England",8,1,2008,2008,"UKBMS"
2578,"Dunwell Fields","ST396372",339600,137200,1155,"England",3,12,2008,2019,"UKBMS"
2579,"Westfield Monument Strip","ST494339",349400,133900,2332,"England",14,12,2008,2019,"UKBMS"
2581,"Bossington","SS905485",290500,148500,2600,"England",8,13,2008,2020,"UKBMS"
2582,"Wookey Hole Fields","ST534480",353400,148000,2000,"England",9,13,2008,2020,"UKBMS"
2583,"Kings Castle Wood","ST568456",356800,145600,1750,"England",6,12,2009,2020,"UKBMS"
2584,"Dunball-Puriton Access Land","ST313411",331300,141100,3475,"England",7,4,2009,2012,"UKBMS"
2585,"Church Farm, Stratton-on-the-Fosse","ST658506",365800,150600,2600,"England",8,4,2009,2012,"UKBMS"
2586,"Lords Wood","ST633632",363300,163200,2000,"England",5,11,2009,2020,"UKBMS"
2587,"Walton Hill","ST466350",346600,135000,2450,"England",14,11,2009,2019,"UKBMS"
2588,"Clifton-Durdham Down","ST566743",356600,174300,3510,"England",10,11,2010,2020,"UKBMS"
2589,"Charfield Meadow","ST717936",371700,193600,500,"England",2,8,2010,2020,"UKBMS"
2590,"Folly Farm","ST605605",360500,160500,1500,"England",8,9,2009,2020,"UKBMS"
2591,"Goblin Combe","ST471652",347100,165200,350,"England",3,5,2010,2017,"UKBMS"
2592,"Weston Big Wood","ST457752",345700,175200,1650,"England",8,12,2008,2020,"UKBMS"
2594,"The Gulley & Walcombe Slade, Avon Gorge","ST563746",356300,174600,1320,"England",10,11,2010,2020,"UKBMS"
2595,"Green Down","ST517288",351700,128800,1411,"England",8,8,2011,2018,"UKBMS"
2596,"Park Wood, Chaffcombe","ST357100",335700,110000,1630,"England",5,10,2011,2020,"UKBMS"
2597,"Lynchcombe","ST516490",351600,149000,1650,"England",8,13,2008,2020,"UKBMS"
2598,"Hinkley Point 2010","ST210460",321000,146000,3010,"England",7,4,2010,2013,"UKBMS"
2599,"Combe Hollow","ST498327",349800,132700,831,"England",7,9,2011,2019,"UKBMS"
2601,"Cashel","NS400940",240000,694000,5309,"Scotland",10,9,1998,2007,"UKBMS"
2602,"Loch Gruinart (Comp. AO60 - Craig Mhor)","NR27506950",127500,669500,1200,"Scotland",7,23,1995,2020,"UKBMS"
2603,"Loch Gruinart (AO48)","NR27706810",127700,668100,400,"Scotland",8,14,2006,2020,"UKBMS"
2605,"Falls of Clyde","NS88204220",288200,642200,1454,"Scotland",11,17,2001,2020,"UKBMS"
2608,"Allt cheanna Muir","NN10509130",210500,791300,1258,"Scotland",5,15,2002,2017,"UKBMS"
2609,"Allt Mhuic - Loch Arkaig","NN120911",212000,791100,1620,"Scotland",7,15,2002,2017,"UKBMS"
2610,"Polloch","NM79206880",179200,768800,1644,"Scotland",9,12,2002,2018,"UKBMS"
2612,"The Lein","NJ33306570",333300,865700,1100,"Scotland",5,17,1997,2019,"UKBMS"
2613,"Crombie Country Park","NO520400",352000,740000,6210,"Scotland",13,17,2001,2020,"UKBMS"
2614,"Kinghill Country Park","NS85605670",285600,656700,2150,"Scotland",7,1,2003,2003,"UKBMS"
2615,"Baluain","NN840670",284000,767000,1000,"Scotland",10,13,2002,2015,"UKBMS"
2616,"Newhailes","NT32807270",332800,672700,2458,"Scotland",12,15,2003,2017,"UKBMS"
2617,"Cathkin Braes","NS610580",261000,658000,,"Scotland",13,3,1998,2000,"UKBMS"
2618,"Cathkin Braes (2)","NS61405830",261400,658300,1450,"Scotland",15,13,2001,2020,"UKBMS"
2619,"Arienas Wood","NM680520",168000,752000,2250,"Scotland",15,22,1989,2019,"UKBMS"
2620,"Auchtermuchty Common","NO240131",324000,713100,2000,"Scotland",10,11,2003,2020,"UKBMS"
2621,"Gailes Marsh","NS32703570",232700,635700,2001,"Scotland",10,1,2003,2003,"UKBMS"
2622,"Harestanes","NT64102440",364100,624400,1860,"Scotland",8,5,2003,2007,"UKBMS"
2623,"Rockcliffe","NX84305420",284300,554200,2883,"Scotland",10,9,2003,2018,"UKBMS"
2624,"Greenhead Moss","NS81305490",281300,654900,2500,"Scotland",10,1,2003,2003,"UKBMS"
2625,"Beinn Leamhaid","NM96506150",196500,761500,,"Scotland",15,1,2003,2003,"UKBMS"
2626,"Doire Donn","NN05507050",205500,770500,,"Scotland",15,1,2003,2003,"UKBMS"
2627,"Mugdock CP (Mugdock 1 Craigend Field & Peitches Mr","NS54907770",254900,677700,179,"Scotland",6,10,2001,2010,"UKBMS"
2628,"Commonhead Moss","NS700660",270000,666000,1700,"Scotland",6,16,1999,2019,"UKBMS"
2629,"Acharn Hill","NM51806910",151800,769100,1720,"Scotland",15,9,1989,2002,"UKBMS"
2630,"RSPB Scotland Baron's Haugh reserve","NS750550",275000,655000,2350,"Scotland",12,14,2003,2018,"UKBMS"
2631,"CAERLAVEROCK NATIONAL NATURE RESERVE","NY04406510",304400,565100,1780,"Scotland",5,3,2004,2006,"UKBMS"
2632,"Caerlaverock WWT","NY05706630",305700,566300,1760,"Scotland",4,7,2004,2012,"UKBMS"
2634,"Cam Chreag","NN37503350",237500,733500,1200,"Scotland",12,3,2001,2003,"UKBMS"
2635,"Carr Brae, Dornie","NG91402500",191400,825000,650,"Scotland",5,8,2004,2011,"UKBMS"
2636,"Clunes","NN78606730",278600,767300,1375,"Scotland",14,5,2004,2008,"UKBMS"
2637,"Dunnet butterfly transect","ND22306980",322300,969800,1250,"Scotland",11,29,1986,2019,"UKBMS"
2638,"Cream o' Galloway","NX59905180",259900,551800,1036,"Scotland",12,1,2004,2004,"UKBMS"
2639,"Dalbeattie Forest - 'Lovers Loup'","NX86505690",286500,556900,1300,"Scotland",8,6,2004,2009,"UKBMS"
2640,"Eglinton Park","NS330410",233000,641000,1400,"Scotland",10,15,2003,2019,"UKBMS"
2641,"Glencoe","NN118567",211800,756700,3640,"Scotland",9,16,2003,2018,"UKBMS"
2642,"Knockman Wood","NX40706850",240700,568500,1900,"Scotland",5,1,2004,2004,"UKBMS"
2643,"Knowetop Lochs","NX70507850",270500,578500,1350,"Scotland",5,16,2004,2019,"UKBMS"
2644,"Mugdock CP 3 - Castle Park","NS55207690",255200,676900,71,"Scotland",3,9,2001,2010,"UKBMS"
2645,"Mugdock CP 4 - Khyber Fields","NS54407730",254400,677300,121,"Scotland",5,9,2001,2010,"UKBMS"
2646,"Mugdock CP 5 - Mugdock Wood","NS54507660",254500,676600,114,"Scotland",5,9,2001,2010,"UKBMS"
2647,"Sorbie","NX44504540",244500,545400,2270,"Scotland",10,1,2004,2004,"UKBMS"
2648,"South Haugh","NS73105540",273100,655400,1601,"Scotland",9,16,2005,2020,"UKBMS"
2649,"Langlands Moss","NS63805100",263800,651000,2140,"Scotland",10,8,2005,2012,"UKBMS"
2650,"Ardersier","NH77905580",277900,855800,1975,"Scotland",13,7,2003,2014,"UKBMS"
2651,"Glen Girnaig","NN940660",294000,766000,,"Scotland",5,6,2005,2010,"UKBMS"
2652,"Holyrood Park - Hunters Bog","NT27407340",327400,673400,1860,"Scotland",6,16,2005,2020,"UKBMS"
2654,"Darnley Mill","NS52505880",252500,658800,2500,"Scotland",10,1,2006,2006,"UKBMS"
2655,"Dornoch Beach","NH80408920",280400,889200,2326,"Scotland",8,7,2006,2013,"UKBMS"
2656,"Dunsapie Crag","NT28207320",328200,673200,1330,"Scotland",10,19,2002,2020,"UKBMS"
2657,"Salisbury Crags","NT26707320",326700,673200,2570,"Scotland",11,17,2002,2018,"UKBMS"
2658,"Killean Lismore","NM84904170",184900,741700,1031,"Scotland",10,2,2006,2007,"UKBMS"
2660,"Forfar Loch C.P","NO40105040",340100,750400,3614,"Scotland",12,2,2005,2006,"UKBMS"
2661,"Bowhill","NT42802770",342800,627700,1460,"Scotland",8,5,2007,2012,"UKBMS"
2662,"Isle of Eigg","NM48208460",148200,784600,2100,"Scotland",5,29,1988,2020,"UKBMS"
2663,"Nethy Bridge","NJ001205",300100,820500,2675,"Scotland",8,1,2008,2008,"UKBMS"
2664,"Ben Lomond - Ptarmigan path","NN36200010",236200,700100,1911,"Scotland",8,1,2007,2007,"UKBMS"
2665,"Sanford Moor","NS72304340",272300,643400,1535,"Scotland",9,14,2007,2020,"UKBMS"
2666,"Balblair Wood","NH590940",259000,894000,1775,"Scotland",15,14,2007,2020,"UKBMS"
2668,"Polymaily","NH48503050",248500,830500,1350,"Scotland",11,14,2007,2020,"UKBMS"
2669,"Aberlady Bay","NT465815",346500,681500,3924,"Scotland",12,14,2007,2020,"UKBMS"
2670,"John Muir Country Park","NT650761",365000,676100,2937,"Scotland",5,10,2009,2020,"UKBMS"
2671,"Yellowcraig","NT516854",351600,685400,1050,"Scotland",8,11,2009,2020,"UKBMS"
2672,"Levenhall","NT358735",335800,673500,3240,"Scotland",9,7,2013,2019,"UKBMS"
2673,"Gullane East","NT481834",348100,683400,1887,"Scotland",12,10,2009,2019,"UKBMS"
2674,"Alva Glen","NS885978",288500,697800,2260,"Scotland",9,2,2008,2009,"UKBMS"
2675,"SWT Gailes Marsh","NS324358",232400,635800,2000,"Scotland",6,5,2009,2020,"UKBMS"
2676,"Clune","NT170954",317000,695400,2540,"Scotland",10,8,2007,2020,"UKBMS"
2677,"Craigmillar Castle Park","NT28607120",328600,671200,2130,"Scotland",8,12,2008,2020,"UKBMS"
2678,"Meadows Yard LNR","NT29307530",329300,675300,550,"Scotland",6,12,2008,2020,"UKBMS"
2679,"Cocksburn Reservoir, Bridge of Allan","NS805985",280500,698500,1500,"Scotland",10,11,2009,2020,"UKBMS"
2680,"Blackness Transect","NT055797",305500,679700,1650,"Scotland",8,6,2007,2012,"UKBMS"
2681,"Linlithgow Loch Transect 1 - Fiddlers Croft","NT008776",300800,677600,960,"Scotland",7,9,2006,2018,"UKBMS"
2682,"Linlithgow Loch Transect 2 - North Side","NT002777",300200,677700,1590,"Scotland",7,9,2006,2018,"UKBMS"
2683,"Loch Gruinart - Creag Mhor North","NR272697",127200,669700,,"Scotland",14,13,2006,2020,"UKBMS"
2684,"David Marshall Lodge Transect","NN520014",252000,701400,2585,"Scotland",9,5,2009,2013,"UKBMS"
2685,"Cullaloe Local Nature Reserve","NT187875",318700,687500,1300,"Scotland",7,6,2009,2020,"UKBMS"
2686,"Glen Fender","NN895678",289500,767800,1085,"Scotland",7,6,2009,2015,"UKBMS"
2687,"Archerfield & Renaissance","NT502851",350200,685100,2940,"Scotland",13,1,2009,2009,"UKBMS"
2688,"Cammo Estate","NT175747",317500,674700,2175,"Scotland",9,8,2009,2019,"UKBMS"
2689,"Gullane West","NT468830",346800,683000,1877,"Scotland",11,5,2009,2014,"UKBMS"
2690,"Barns Ness","NT718771",371800,677100,2283,"Scotland",6,12,2009,2020,"UKBMS"
2691,"Hailes ROW","NT592774",359200,677400,2568,"Scotland",10,11,2009,2019,"UKBMS"
2692,"South Glendale","NF791145",79100,814500,3710,"Scotland",6,3,2009,2011,"UKBMS"
2693,"Loch Leven - Burleigh (1-4)","NO131036",313100,703600,,"Scotland",4,3,2008,2018,"UKBMS"
2694,"Loch Leven - Findatie (5-7)","NT174992",317400,699200,,"Scotland",3,3,2008,2018,"UKBMS"
2695,"Loch Leven - Railway (8-10)","NO122010",312200,701000,,"Scotland",3,4,2008,2019,"UKBMS"
2696,"Loch Leven - Vane (11-14)","NT155993",315500,699300,,"Scotland",4,1,2009,2009,"UKBMS"
2697,"Jupiter Urban Wildlife Centre","NS918810",291800,681000,1173,"Scotland",11,10,2010,2019,"UKBMS"
2698,"Alva Glen revised","NS885978",288500,697800,1370,"Scotland",6,10,2010,2020,"UKBMS"
2699,"Glasgow Museums Resource Centre","NS517600",251700,660000,725,"Scotland",7,11,2009,2019,"UKBMS"
2700,"Crewe Business Park","SJ72405500",372400,355000,2014,"England",15,6,1996,2001,"UKBMS"
2701,"Hall Dale","SK13405350",413400,353500,2275,"England",8,15,1992,2017,"UKBMS"
2702,"Bradburys (Huberts) Bank","SK15105610",415100,356100,2000,"England",9,14,1994,2017,"UKBMS"
