Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
51396,,"SE0113",401000,413000,,"England",10,2,2009,2018,"WCBS"
51397,,"SE3753",437000,453000,,"England",10,5,2009,2013,"WCBS"
51398,,"SE7231",472000,431000,,"England",10,3,2009,2011,"WCBS"
51399,,"TA2236",522000,436000,,"England",10,1,2009,2009,"WCBS"
51400,,"SU5647",456000,147000,,"England",10,7,2009,2017,"WCBS"
51401,,"SK3496",434000,396000,,"England",10,5,2009,2017,"WCBS"
51402,,"SN2542",225000,242000,,"Wales",10,1,2006,2006,"WCBS"
51403,,"SP0848",408000,248000,,"England",10,1,2006,2006,"WCBS"
51404,,"ST2846",328000,146000,,"England",10,1,2007,2007,"WCBS"
51405,,"SP9792",497000,292000,,"England",10,1,2007,2007,"WCBS"
51406,,"SS8443",284000,143000,,"England",10,2,2007,2008,"WCBS"
51407,,"SS8932",289000,132000,,"England",10,1,2007,2007,"WCBS"
51408,,"SH9323",293000,323000,,"Wales",10,2,2007,2008,"WCBS"
51409,,"SH9918",299000,318000,,"Wales",10,2,2007,2008,"WCBS"
51410,,"SH9919",299000,319000,,"Wales",10,2,2007,2008,"WCBS"
51411,,"SJ5328",353000,328000,,"England",10,1,2007,2007,"WCBS"
51412,,"TF7234",572000,334000,,"England",10,1,2007,2007,"WCBS"
51413,,"ST4445",344000,145000,,"England",10,1,2007,2007,"WCBS"
51414,,"ST7546",375000,146000,,"England",10,1,2008,2008,"WCBS"
51415,,"ST7931",379000,131000,,"England",10,1,2007,2007,"WCBS"
51416,,"SU3605",436000,105000,,"England",10,1,2007,2007,"WCBS"
51417,,"SU4689",446000,189000,,"England",10,4,2007,2013,"WCBS"
51418,,"TQ6169",561000,169000,,"England",10,2,2007,2014,"WCBS"
51419,,"SY7784",377000,84000,,"England",10,1,2006,2006,"WCBS"
51420,,"TL1009",510000,209000,,"England",10,1,2006,2006,"WCBS"
